"r1","r2","commit","bug","msg_size","author_experience","nbr_insert_line_commit","nbr_deleted_line_commit","nbr_churn_file_commit","week_day","month_day","month","MaxNesting","CountDeclFunction","Cyclomatic","CountLineCode","CountStmtDecl","CountLineBlank_Php","RatioCommentToCode","freq","pic","predict"
"3.9.2","4.0","b938bfb7",0,10,842,38,8,3,"Thu",7,"Aug",2,3,1,1080,4,101,0.04,3,"1","0"
"2.7.1","2.8","99c157db",0,9,531,2,3,1,"Thu",7,"May",4,53,1,760,66,165,0.16,2,"1","0"
"4.6.1","4.7","788c3680",1,17,1546,5,4,2,"Sun",18,"Sep",0,0,1,6,0,4,4.17,3,"1","0"
"4.2.4","4.3","e9e88d0b",1,16,605,2,2,2,"Sun",9,"Aug",0,0,1,6,0,4,4.17,1,"1","0"
"3.5","3.5.1","2219d84e",0,5,203,2,2,2,"Thu",27,"Dec",0,0,1,6,0,4,4.17,1,"1","0"
"4.0.1","4.1","8cc6732b",0,15,755,9,3,2,"Fri",28,"Nov",0,0,1,6,0,4,4.17,1,"1","0"
"3.3.2","3.4","01f8df5b",0,12,313,111,1,2,"Fri",25,"May",1,21,1,327,21,63,0.52,29,"1","0"
"2.9.2","3.0","33628516",0,12,46,1,1,1,"Mon",19,"Apr",3,9,16,370,13,52,0.07,1,"1","0"
"2.7.1","2.8","6d0ab21e",1,10,5042,1,1,1,"Thu",28,"May",2,0,14,189,0,32,0.04,1,"1","0"
"4.3.1","4.4","dcf23c5e",1,17,1248,7,7,2,"Fri",16,"Oct",0,0,1,6,0,4,4.17,3,"1","0"
"2.7.1","2.8","961a793b",1,4,802,40,40,16,"Wed",27,"May",0,0,1,5,0,4,4.6,1,"1","0"
"4.4.2","4.5","56d28131",1,78,817,10,3,2,"Wed",2,"Mar",0,0,1,6,0,4,4.17,3,"1","0"
"2.3.3","2.5","fabda2a2",1,8,2995,4,4,2,"Tue",26,"Feb",0,0,1,87,0,20,0,5,"1","0"
"4.3.1","4.4","870cdfb0",1,17,328,3,3,2,"Fri",20,"Nov",2,16,1,705,25,180,0.43,2,"1","0"
"3.3.2","3.4","a75702bb",0,24,313,140,65,5,"Wed",25,"Apr",2,31,1,417,38,124,0.57,29,"1","0"
"4.4.2","4.5","4e6b257f",0,14,3251,145,323,6,"Sat",9,"Apr",0,0,1,6,0,4,4.17,19,"1","0"
"2.9.2","3.0","6a4971c1",0,27,46,3,2,1,"Wed",21,"Apr",4,77,1,952,119,275,0.21,2,"1","0"
"3.0.5","3.1","6a8ff663",1,24,6486,10,10,2,"Thu",10,"Feb",4,37,1,555,46,146,0.91,2,"1","0"
"2.7.1","2.8","2416f426",1,6,802,19,14,1,"Sat",7,"Mar",5,57,1,1070,74,190,0.71,10,"1","0"
"3.4.2","3.5","e3d18dc0",0,22,658,39,13,1,"Wed",10,"Oct",4,1,66,362,1,78,0.04,4,"1","0"
"4.6.1","4.7","4dcb7a0f",0,64,293,2,2,2,"Mon",12,"Sep",4,28,4,275,46,92,1.98,1,"1","0"
"2.3.1","2.3.2","555a11e1",1,4,2083,1,1,1,"Fri",21,"Dec",4,20,3,272,46,61,0.38,1,"1","0"
"3.4.2","3.5","298b6b26",1,19,14,5,5,1,"Sat",29,"Sep",3,12,1,140,16,26,1.3,5,"1","0"
"2.9.2","3.0","00192e27",1,16,887,2,3,2,"Thu",27,"May",2,0,15,130,0,21,0.05,3,"1","0"
"2.5.1","2.6","9e585b7c",0,9,3442,2,2,1,"Tue",24,"Jun",3,2,1,106,2,28,1.05,1,"1","0"
"3.6.1","3.7","9e15ed5b",1,24,1413,1,0,1,"Thu",3,"Oct",6,14,1,308,33,85,0.83,1,"1","0"
"2.9.2","3.0","b8ecd805",1,7,887,1,1,1,"Fri",19,"Feb",8,58,1,704,68,190,0.87,1,"1","0"
"3.7.1","3.8","bb9dd73d",1,35,197,13,2,1,"Sat",7,"Dec",3,13,1,191,13,54,1.15,6,"1","0"
"4.6.1","4.7","3138878a",1,11,84,2,2,2,"Thu",10,"Nov",0,0,1,6,0,4,4.17,1,"1","0"
"3.7.1","3.8","20e5b277",1,11,197,4,0,1,"Fri",15,"Nov",4,10,2,385,11,100,0.36,2,"1","0"
"4.5.3","4.6","db9ec644",1,17,1443,2,2,2,"Sat",23,"Jul",7,126,1,2569,164,706,1.09,1,"1","0"
"2.2.3","2.3","1e127b41",0,36,1753,1,1,1,"Sat",15,"Sep",5,70,1,1397,114,377,0.09,1,"1","0"
"4.4.2","4.5","cfab9716",0,74,604,3,3,2,"Thu",7,"Apr",0,0,1,6,0,4,4.17,2,"1","0"
"2.9.2","3.0","96db88e1",0,20,404,6,3,2,"Fri",19,"Mar",3,12,1,379,18,63,0.29,1,"1","0"
"2.9","2.9.1","2a5bfcc9",1,11,1049,2,2,1,"Wed",23,"Dec",7,83,1,1481,95,256,0.78,1,"1","0"
"2.9.2","3.0","165495d2",0,9,46,1,1,1,"Fri",28,"May",3,0,52,249,0,50,0.08,1,"1","0"
"3.5.2","3.6","c3b321d0",1,17,207,2,2,2,"Thu",27,"Jun",4,3,30,553,3,65,0.06,2,"1","0"
"3.3.2","3.4","ea30b9f2",1,25,7123,1,1,1,"Mon",30,"Apr",2,0,25,199,0,40,0.23,1,"1","0"
"2.9.2","3.0","c490ca06",0,13,887,2,2,2,"Wed",26,"May",5,20,1,661,25,87,0.3,1,"1","0"
"2.9.2","3.0","0fc4e2c9",1,8,247,26,10,2,"Sun",28,"Feb",7,28,2,623,40,121,0.09,2,"1","0"
"2.9.2","3.0","261592f3",0,13,887,6,2,1,"Mon",22,"Mar",4,25,1,712,31,161,0.21,2,"1","0"
"2.9.2","3.0","e13e6254",1,17,887,10,9,5,"Thu",10,"Jun",2,14,8,249,16,41,0.82,5,"1","0"
"2.9.2","3.0","fa23d1ed",1,38,887,12,18,4,"Thu",6,"May",2,6,1,101,8,42,1.6,6,"1","0"
"4.0.1","4.1","1bb20da0",1,18,2867,2,2,2,"Wed",3,"Dec",4,31,1,546,56,137,0.91,1,"1","0"
"3.2.1","3.3","f2a6d07a",0,21,2107,2,2,1,"Thu",22,"Sep",3,0,22,118,0,18,0.08,1,"1","0"
"2.0.4","2.0.5","09b84728",1,13,44,12,4,1,"Wed",4,"Oct",4,1,18,145,1,33,0.06,3,"1","0"
"3.7.1","3.8","0c2b2c16",1,7,197,1,1,1,"Tue",26,"Nov",2,16,1,610,25,178,0.3,1,"1","0"
"3.6.1","3.7","4502b65a",0,10,289,10,2,1,"Fri",13,"Sep",2,0,7,58,0,19,0.26,3,"1","0"
"4.3.1","4.4","d1436af5",1,9,357,2,2,2,"Mon",30,"Nov",3,41,1,296,50,112,1.76,1,"1","0"
